Delegacia;Furtos na região;Roubo de carga;Roubos;Roubo de Veiculo;Furto de veiculo;Latrocinios;Homicídio doloso por acidente de trânsito;Homicídio Culposo por acidente de Trânsito;Homicídio Culposo;Tentativa de Homicídio;Lesão Corporal seguida de morte;Lesão Corporal Dolosa;Lesão Corporal Culposa por acidente de trânsito;Lesão Corporal Culposa;Estupro;Estupro de vulnerável;Roubo de veiculos;Roubo a Banco ;Ano
024 DP - Ponte Rasa;1750,00;14,00;1078,00;0,00;596,00;8,00;0,00;5,00;0,00;5,00;0,00;452,00;168,00;11,00;8,00;36,00;136,00;0,00;2019
025 DP - Parelheiros;876,00;18,00;1203,00;1,00;111,00;30,00;0,00;6,00;0,00;4,00;0,00;353,00;113,00;2,00;12,00;56,00;154,00;0,00;2020
025 DP - Parelheiros;1090,00;26,00;1190,00;1,00;147,00;20,00;0,00;8,00;1,00;15,00;1,00;473,00;168,00;5,00;19,00;38,00;218,00;0,00;2019
026 DP - Sacomã;538,00;11,00;662,00;0,00;182,00;0,00;0,00;1,00;0,00;4,00;0,00;317,00;55,00;8,00;5,00;6,00;151,00;0,00;2020
026 DP - Sacomã;535,00;13,00;746,00;3,00;128,00;1,00;0,00;1,00;0,00;0,00;0,00;272,00;80,00;6,00;0,00;5,00;243,00;0,00;2019
027 DP - Campo Belo;1584,00;10,00;1105,00;0,00;265,00;0,00;0,00;3,00;0,00;3,00;0,00;239,00;129,00;32,00;7,00;12,00;153,00;1,00;2020
027 DP - Campo Belo;2193,00;10,00;955,00;0,00;323,00;3,00;0,00;0,00;1,00;6,00;0,00;285,00;276,00;48,00;7,00;6,00;212,00;1,00;2019
028 DP - Freguesia do Ó;1468,00;37,00;1034,00;1,00;299,00;4,00;0,00;2,00;0,00;5,00;0,00;290,00;167,00;9,00;8,00;16,00;140,00;0,00;2020
028 DP - Freguesia do Ó;1545,00;48,00;1240,00;1,00;343,00;7,00;0,00;0,00;0,00;4,00;0,00;323,00;211,00;9,00;8,00;14,00;321,00;1,00;2019
029 DP - Vila Diva;512,00;4,00;484,00;1,00;404,00;4,00;0,00;2,00;0,00;3,00;0,00;121,00;70,00;2,00;3,00;5,00;87,00;0,00;2020
029 DP - Vila Diva;686,00;5,00;583,00;0,00;595,00;1,00;0,00;6,00;0,00;2,00;0,00;155,00;99,00;7,00;5,00;7,00;131,00;0,00;2019
030 DP - Tatuapé;1873,00;5,00;921,00;0,00;870,00;2,00;0,00;7,00;0,00;7,00;0,00;168,00;147,00;8,00;7,00;5,00;133,00;0,00;2020
030 DP - Tatuapé;2652,00;12,00;947,00;0,00;1053,00;7,00;0,00;4,00;0,00;3,00;0,00;293,00;222,00;26,00;10,00;4,00;153,00;1,00;2019
031 DP - Vila Carrão;400,00;8,00;395,00;1,00;317,00;1,00;0,00;3,00;0,00;3,00;0,00;115,00;82,00;8,00;1,00;7,00;52,00;0,00;2020
031 DP - Vila Carrão;516,00;7,00;422,00;0,00;379,00;1,00;0,00;1,00;0,00;3,00;0,00;109,00;87,00;7,00;1,00;5,00;73,00;0,00;2019
032 DP - Itaquera;1152,00;7,00;1267,00;0,00;318,00;3,00;0,00;2,00;0,00;8,00;0,00;289,00;120,00;8,00;9,00;25,00;153,00;0,00;2020
032 DP - Itaquera;1367,00;11,00;1249,00;0,00;411,00;4,00;0,00;5,00;0,00;9,00;1,00;310,00;133,00;15,00;7,00;17,00;257,00;0,00;2019
033 DP - Pirituba;983,00;59,00;950,00;0,00;406,00;5,00;0,00;11,00;0,00;4,00;0,00;121,00;106,00;19,00;2,00;13,00;219,00;0,00;2020
033 DP - Pirituba;867,00;88,00;883,00;0,00;590,00;6,00;0,00;19,00;0,00;14,00;1,00;208,00;205,00;14,00;10,00;14,00;313,00;0,00;2019
034 DP - Vila Sonia;1376,00;13,00;1211,00;0,00;247,00;5,00;1,00;2,00;0,00;3,00;0,00;177,00;197,00;9,00;4,00;12,00;187,00;0,00;2020
034 DP - Vila Sonia;2258,00;29,00;1349,00;1,00;287,00;8,00;0,00;6,00;0,00;5,00;0,00;248,00;303,00;13,00;5,00;9,00;193,00;0,00;2019
035 DP - Jabaquara;1655,00;17,00;1796,00;0,00;252,00;5,00;0,00;4,00;0,00;3,00;1,00;409,00;141,00;11,00;5,00;13,00;358,00;1,00;2020
035 DP - Jabaquara;2234,00;10,00;1744,00;0,00;277,00;4,00;0,00;5,00;0,00;7,00;0,00;349,00;172,00;7,00;5,00;19,00;731,00;0,00;2019
036 DP - Vila Mariana;3646,00;2,00;828,00;0,00;223,00;0,00;0,00;1,00;0,00;2,00;0,00;132,00;68,00;16,00;3,00;2,00;18,00;1,00;2020
036 DP - Vila Mariana;4344,00;1,00;1160,00;0,00;349,00;0,00;0,00;0,00;1,00;2,00;0,00;143,00;122,00;29,00;5,00;4,00;31,00;0,00;2019
037 DP - Campo Limpo;2253,00;123,00;3467,00;3,00;298,00;21,00;0,00;8,00;0,00;16,00;1,00;569,00;189,00;3,00;16,00;50,00;327,00;0,00;2020
037 DP - Campo Limpo;2651,00;120,00;3358,00;1,00;372,00;23,00;0,00;9,00;0,00;24,00;0,00;671,00;306,00;6,00;19,00;39,00;379,00;0,00;2019
038 DP - Vila Amália;1232,00;25,00;907,00;0,00;226,00;9,00;0,00;3,00;1,00;8,00;0,00;362,00;124,00;4,00;9,00;16,00;90,00;0,00;2020
038 DP - Vila Amália;1248,00;10,00;1104,00;2,00;243,00;2,00;0,00;4,00;0,00;9,00;0,00;365,00;192,00;5,00;6,00;28,00;126,00;0,00;2019
039 DP - Vila Gustavo;1420,00;16,00;1076,00;0,00;533,00;7,00;0,00;3,00;0,00;5,00;0,00;311,00;118,00;12,00;6,00;19,00;87,00;0,00;2020
039 DP - Vila Gustavo;1869,00;10,00;1178,00;0,00;799,00;4,00;0,00;1,00;1,00;9,00;0,00;339,00;186,00;9,00;12,00;21,00;105,00;0,00;2019
040 DP - Vila Santa Maria;1076,00;31,00;750,00;0,00;228,00;5,00;0,00;1,00;0,00;5,00;0,00;195,00;79,00;8,00;5,00;6,00;108,00;0,00;2020
040 DP - Vila Santa Maria;1263,00;45,00;911,00;1,00;293,00;4,00;0,00;4,00;0,00;10,00;1,00;265,00;121,00;33,00;4,00;6,00;231,00;0,00;2019
041 DP - Vila Rica;1047,00;28,00;1441,00;0,00;549,00;3,00;0,00;4,00;0,00;2,00;0,00;330,00;113,00;5,00;4,00;26,00;193,00;0,00;2020
041 DP - Vila Rica;1517,00;30,00;1509,00;0,00;832,00;4,00;0,00;1,00;0,00;7,00;0,00;363,00;166,00;7,00;4,00;31,00;280,00;0,00;2019
042 DP - Parque São Lucas;644,00;10,00;839,00;0,00;670,00;2,00;0,00;3,00;1,00;4,00;0,00;139,00;81,00;67,00;4,00;17,00;182,00;0,00;2020
042 DP - Parque São Lucas;825,00;12,00;1059,00;1,00;893,00;3,00;0,00;4,00;0,00;4,00;0,00;219,00;137,00;28,00;6,00;14,00;202,00;0,00;2019
